,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021500002,84.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,1.0,3.0,35.0,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15.0,-145.0,67.0,1.0,0.0
0,Shot Chart Detail,0021500002,201.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,2.0,7.0,47.0,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,50.0,26.0,1.0,1.0
0,Shot Chart Detail,0021500002,360.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,3.0,4.0,59.0,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11.0,114.0,-6.0,1.0,1.0
0,Shot Chart Detail,0021500002,367.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,3.0,4.0,9.0,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16.0,48.0,159.0,1.0,1.0
0,Shot Chart Detail,0021500002,371.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,3.0,3.0,34.0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19.0,27.0,190.0,1.0,0.0
0,Shot Chart Detail,0021500002,392.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,3.0,1.0,13.0,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8.0,63.0,61.0,1.0,0.0
0,Shot Chart Detail,0021500002,398.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,3.0,0.0,52.0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13.0,-137.0,8.0,1.0,0.0
0,Shot Chart Detail,0021500002,419.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,4.0,11.0,3.0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24.0,-243.0,43.0,1.0,0.0
0,Shot Chart Detail,0021500002,423.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,4.0,10.0,44.0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15.0,-117.0,105.0,1.0,0.0
0,Shot Chart Detail,0021500006,80.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,1.0,2.0,18.0,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-24.0,3.0,1.0,1.0
0,Shot Chart Detail,0021500006,110.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,1.0,0.0,30.0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,6.0,247.0,1.0,0.0
0,Shot Chart Detail,0021500006,112.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,1.0,0.0,9.0,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18.0,-150.0,115.0,1.0,1.0
0,Shot Chart Detail,0021500006,114.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,1.0,0.0,0.0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28.0,97.0,272.0,1.0,0.0
0,Shot Chart Detail,0021500006,119.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,2.0,11.0,35.0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-130.0,234.0,1.0,1.0
0,Shot Chart Detail,0021500006,346.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,3.0,4.0,29.0,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,6.0,43.0,1.0,1.0
0,Shot Chart Detail,0021500006,367.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,3.0,2.0,40.0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-160.0,205.0,1.0,1.0
0,Shot Chart Detail,0021500006,391.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,3.0,0.0,29.0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-130.0,214.0,1.0,0.0
0,Shot Chart Detail,0021500006,432.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,4.0,8.0,52.0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-212.0,126.0,1.0,0.0
0,Shot Chart Detail,0021500025,101.0,201166.0,Aaron Brooks,1610612741.0,Chicago Bulls,1.0,2.0,7.0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-140.0,210.0,1.0,0.0
